k,timestamp,PV_level (cm),PV_flow (VDC),dPVflow,dt,Q_FT (lt/min)
61,7.43812370300293,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
62,7.573755979537964,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
63,7.687453031539917,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
64,7.8230907917022705,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
65,7.949751615524292,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
66,8.06244945526123,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
67,8.196093797683716,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
68,8.320759296417236,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
69,8.460386514663696,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
70,8.571090459823608,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
71,8.713711500167847,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
72,8.814439535140991,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
73,8.931161880493164,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
74,9.0318603515625,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
75,9.132591724395752,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
76,9.252303123474121,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
77,9.377933740615845,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
78,9.484685182571411,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
79,9.588371276855469,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
80,9.726003408432007,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
81,9.846681118011475,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
82,9.961374044418335,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
83,10.080060720443726,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
84,10.194750785827637,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
85,10.332384824752808,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
86,10.45704984664917,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
87,10.593720197677612,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
88,10.69441556930542,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
89,10.795182943344116,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
90,10.920811891555786,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
91,11.021541833877563,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
92,11.140223741531372,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
93,11.277855157852173,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
94,11.38656759262085,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
95,11.501260042190552,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
96,11.613956928253174,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
97,11.733639240264893,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
98,11.840352058410645,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
99,11.967015981674194,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
100,12.124592542648315,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
101,12.230310201644897,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
102,12.353983163833618,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
103,12.454710483551025,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
104,12.600324392318726,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
105,12.717011451721191,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
106,12.871598482131958,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
107,12.972327470779419,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
108,13.101015329360962,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
109,13.210689544677734,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
110,13.3433358669281,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
111,13.45603609085083,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
112,13.587688446044922,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
113,13.70536756515503,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
114,13.806132316589355,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
115,13.906827926635742,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
116,14.024516105651855,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
117,14.160153150558472,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
118,14.279872179031372,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
119,14.40250539779663,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
120,14.50822138786316,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
121,14.629895687103271,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
122,14.730627298355103,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
123,14.845358848571777,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
124,14.965998649597168,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
125,15.101634979248047,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
126,15.232285976409912,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
127,15.333016872406006,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
128,15.481619834899902,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
129,15.612305164337158,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
130,15.72796082496643,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
131,15.870582103729248,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
132,15.992254495620728,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
133,16.104987859725952,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
134,16.23859667778015,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
135,16.367255449295044,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
136,16.46997880935669,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
137,16.586666107177734,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
138,16.6923828125,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
139,16.82207679748535,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
140,16.92276668548584,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
141,17.05841088294983,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
142,17.205052852630615,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
143,17.352618932724,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
144,17.465317010879517,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
145,17.598961114883423,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
146,17.701685667037964,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
147,17.844305753707886,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
148,17.971965789794922,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
149,18.07269525527954,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
150,18.19736099243164,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
151,18.312055587768555,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
152,18.435758590698242,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
153,18.56038999557495,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
154,18.667108297348022,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
155,18.804773569107056,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
156,18.959359407424927,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
157,19.092968225479126,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
158,19.20968985557556,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
159,19.35127592086792,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
160,19.481927156448364,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
161,19.602607488632202,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
162,19.72826838493347,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
163,19.86590075492859,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
164,19.98258924484253,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
165,20.10027813911438,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
166,20.201006174087524,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
167,20.353631496429443,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
168,20.48824381828308,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
169,20.64182710647583,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
170,20.760509729385376,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
171,20.872244834899902,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
172,21.008846759796143,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
173,21.147475481033325,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
174,21.248209238052368,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
175,21.379854202270508,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
176,21.518484115600586,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
177,21.61921453475952,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
178,21.73690152168274,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
179,21.847604036331177,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
180,21.9852397441864,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
181,22.089959383010864,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
182,22.20963740348816,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
183,22.310394763946533,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
184,22.43004870414734,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
185,22.530813217163086,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
186,22.65046525001526,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
187,22.755177974700928,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
188,22.855907917022705,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
189,22.976619482040405,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
190,23.110267400741577,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
191,23.261826515197754,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
192,23.369540214538574,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
193,23.48622417449951,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
194,23.590944290161133,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
195,23.71760606765747,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
196,23.835291862487793,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
197,23.94998788833618,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
198,24.05769658088684,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
199,24.17837619781494,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
200,24.27910566329956,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
201,24.39380121231079,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
202,24.511519193649292,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
203,24.645127296447754,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
204,24.745856761932373,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
205,24.846587657928467,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
206,24.9812650680542,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
207,25.094923973083496,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
208,25.19765019416809,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
209,25.32631015777588,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
210,25.43501853942871,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
211,25.552703142166138,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
212,25.666397094726562,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
213,25.801037788391113,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
214,25.92171359062195,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
215,26.03840470314026,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
216,26.139132261276245,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
217,26.2548246383667,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
218,26.35555410385132,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
219,26.47922396659851,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
220,26.581950664520264,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
221,26.72157859802246,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
222,26.841256380081177,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
223,26.94498062133789,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
224,27.06864833831787,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
225,27.185367345809937,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
226,27.313997268676758,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
227,27.450627326965332,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
228,27.557379245758057,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
229,27.69697117805481,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
230,27.80468511581421,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
231,27.939321517944336,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
232,28.065985679626465,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
233,28.16771173477173,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
234,28.30933666229248,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
235,28.44596838951111,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
236,28.546698808670044,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
237,28.66139268875122,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
238,28.764118194580078,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
239,28.865845918655396,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
240,29.006471157073975,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
241,29.131137371063232,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
242,29.231868505477905,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
243,29.36052417755127,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
244,29.461252689361572,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
245,29.583925008773804,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
246,29.71956443786621,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
247,29.82029366493225,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
248,29.92102575302124,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
249,30.042698860168457,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
250,30.179333925247192,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
251,30.292034149169922,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
252,30.42069101333618,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
253,30.53338861465454,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
254,30.662043809890747,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
255,30.798678398132324,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
256,30.89941120147705,4.809177608381744,-0.00015259021896696368,0.0,1678379619.6138005,-7.143337150995783e-14
